ID;BCS;Age;Lact_num;CLO
1;1.8;7;7;1220
2;3;7;7;977
3;2.8;7;7;1092
4;2.9;7;7;1249
5;2.4;7;7;1221
6;2.2;7;7;1163
7;2.2;7;7;833
8;2.9;7;7;1191
9;2.5;7;7;1393
10;2.2;6;6;1795
11;2.8;6;6;890
12;2.5;6;6;1350
13;2.3;6;6;1680
14;2.5;6;6;1407
15;2.4;5;5;1364
16;2.9;5;5;1177
17;2;5;5;1493
18;2.4;5;5;1106
19;2.3;5;5;1192
20;2.5;5;5;1321
21;2.2;5;5;1464
22;2.9;5;5;1364
23;2.9;5;5;1378
24;2.4;5;5;991
25;2.5;5;5;1321
26;2.5;5;5;1508
27;2.7;5;5;1321
28;2.5;5;5;1364
29;2.9;5;5;1235
30;2.7;5;5;733
31;2.2;5;5;1307
32;2.8;5;5;1049
33;2.8;5;5;1163
34;2.3;5;5;1321
35;2.6;5;5;1149
36;2.8;5;5;963
37;3;5;5;1206
38;2.9;5;5;1421
39;2.8;5;5;1565
40;2.1;5;5;1292
41;2.1;5;5;1593
42;2.9;5;5;1264
43;2.5;5;5;1881
44;2.7;5;5;1292
45;2.7;5;5;1665
46;2.9;5;5;1694
47;2.5;5;5;1867
48;2.7;5;5;1321
49;2.2;5;5;1952
50;2.7;5;5;1350
51;2.8;4;4;1536
52;2.7;4;4;976
53;2.7;4;4;1651
54;2.6;4;4;1780
55;2.7;4;4;1479
56;2.8;4;4;1651
57;2.8;4;4;1407
58;2.9;4;4;1435
59;2.6;4;4;1924
60;3;4;4;1206
61;2.7;4;4;1465
62;2.9;4;4;1077
63;2.5;4;4;1034
64;2.7;4;4;1235
65;2.6;4;4;1493
66;2.6;4;4;1550
67;3;4;4;1335
68;2.8;4;4;1393
69;2.8;4;4;1034
70;2.5;4;4;1722
71;2.9;4;4;1608
72;2.6;4;4;1479
73;2.7;4;4;1293
74;2.7;4;4;1264
75;2.9;4;4;1163
76;2.6;4;4;1695
77;2.1;4;4;2010
78;2.6;4;4;1924
79;2.4;4;4;1422
80;2.7;4;4;1307
81;2.5;4;4;1241
82;2.7;4;4;1781
83;2.2;4;4;1206
84;2.9;4;4;1149
85;3;4;4;518
86;2.8;4;4;1307
87;2.4;4;4;1867
88;2.8;4;4;1421
89;2.5;4;4;2081
90;2.8;4;4;1191
91;2.4;4;4;1809
92;2.4;4;4;1550
93;2.9;4;4;2225
94;2.8;4;4;934
95;3;4;4;1106
96;2.4;4;4;1422
97;2.8;4;4;1235
98;2.7;4;4;1593
99;2.7;4;4;1077
100;2.8;4;4;1263
101;2.8;4;4;1608
102;3.1;4;4;1034
103;2.1;4;4;1795
104;2;4;4;1163
105;2.9;4;4;1909
106;2.9;4;4;1235
107;2.8;3;3;1450
108;2.9;3;3;1206
109;2.7;3;3;1521
110;2.8;3;3;1278
111;2.4;3;3;1249
112;2.5;3;3;1507
113;2.7;3;3;1307
114;2.1;3;3;1450
115;2.2;3;3;1637
116;2.8;3;3;1192
117;2.7;3;3;1163
118;2.4;3;3;1565
119;2.8;3;3;1593
120;2.8;3;3;1493
121;2.5;3;3;1637
122;2.7;3;3;1737
123;2.9;3;3;1163
124;2.2;3;3;1436
125;2.9;3;3;1450
126;2.3;3;3;1393
127;2.2;3;3;1278
128;2.5;3;3;1292
129;2.9;3;3;1709
130;1.8;3;3;1091
131;2.4;3;3;1364
132;2.9;3;3;610
133;2.5;3;3;1464
134;2.3;3;3;1349
135;2.8;3;3;1178
136;2.8;3;3;1006
137;2.7;3;3;1881
138;2.8;3;3;2082
139;2.7;3;3;1651
140;2.7;3;3;1191
141;2.8;3;3;1321
142;2.2;3;3;1249
143;2;3;3;847
144;2.7;3;3;1178
145;2.6;3;3;1838
146;2.8;3;3;1450
147;2.6;3;3;1637
148;2.7;3;3;1335
149;2.8;3;3;890
150;2.7;3;3;847
151;2.8;3;3;1766
152;2.4;3;3;1967
153;2.3;3;3;2555
154;2.8;3;3;1881
155;2.4;3;3;1895
156;2.8;3;3;1493
157;2.1;3;3;2239
158;2.5;3;3;1235
159;2.9;3;3;1091
160;2.5;3;3;2153
161;2.6;3;3;1622
162;2.3;3;3;676
163;2.8;3;3;1436
164;2.5;3;3;1507
165;2.8;3;3;1292
166;2.6;3;3;2096
167;2;3;3;1206
168;1.9;3;3;1450
169;2.7;3;3;1507
170;2.5;3;3;1077
171;2.6;3;3;1507
172;2.8;3;3;991
173;2.8;3;3;1336
174;2.6;3;3;1177
175;2.5;3;3;1838
176;2.1;3;3;2283
177;2.7;3;3;1565
178;2.1;3;3;1507
179;2.8;3;3;1723
180;2.4;3;3;1521
181;2.5;3;3;1809
182;2.6;3;3;667
183;2.6;3;3;1378
184;2.9;3;3;1292
185;2.8;3;3;1364
186;2.7;3;3;1709
187;2.5;3;3;718
188;2.9;3;3;1091
189;2.2;3;3;2067
190;2.7;3;3;1665
191;2.7;3;3;1365
192;2.4;3;3;1192
193;2.6;3;3;1580
194;2.6;3;3;1809
195;2.1;3;3;1694
196;2.2;3;3;1163
197;3;3;3;1149
198;2.2;2;2;1350
199;2.6;2;2;948
200;2.8;2;2;1536
201;2.4;2;2;1421
202;2.8;2;2;1565
203;2.2;2;2;1379
204;2.3;2;2;1407
205;2.2;2;2;1594
206;2.6;2;2;1422
207;2.4;2;2;1192
208;2.8;2;2;1695
209;1.8;2;2;1895
210;2.7;2;2;1479
211;2.6;2;2;1364
212;2.3;2;2;1709
213;2.7;2;2;1550
214;2.4;2;2;1738
215;2.8;2;2;1350
216;3;2;2;724
217;2.7;2;2;1694
218;2.6;2;2;1422
219;2.9;2;2;1594
220;2.5;2;2;934
221;2.2;2;2;1421
222;2.8;2;2;1536
223;2.8;2;2;925
224;2.8;2;2;1565
225;2.3;2;2;1436
226;2.2;2;2;1508
227;2.3;2;2;1895
228;2.7;2;2;1436
229;2.8;2;2;1422
230;2.2;2;2;1120
231;2.6;2;2;1752
232;2.9;2;2;1278
233;2.9;2;2;1192
234;2.7;2;2;1952
235;2.6;2;2;962
236;2.9;2;2;962
237;2.5;2;2;1608
238;2.6;2;2;1206
239;2.7;2;2;1135
240;2.7;2;2;1909
241;1.9;2;2;1335
242;2.6;2;2;1392
243;3;2;2;1550
244;2.6;2;2;1192
245;2.2;2;2;1550
246;1.9;2;2;1565
247;2.2;2;2;1924
248;2.8;2;2;1881
249;2.3;2;2;1536
250;2.8;2;2;1249
251;2.5;2;2;1307
252;2.7;2;2;1623
253;2.5;2;2;1436
254;2.7;2;2;1550
255;2.5;2;2;1336
256;2.1;2;2;1938
257;2.6;2;2;1924
258;2.6;2;2;1063
259;2.8;2;2;1048
260;2.4;2;2;1349
261;2.1;2;2;1909
262;2.6;2;2;1436
263;2.1;2;2;1952
264;2.3;2;2;1895
265;2.7;2;2;1895
266;2.7;2;2;2010
267;2.8;2;2;689
268;2.2;2;2;1609
269;2.5;2;2;962
270;2.9;2;2;1708
271;2.8;2;2;1307
272;2.5;2;2;1464
273;2.9;2;2;1407
274;2.2;2;2;1651
275;2.4;2;2;1622
276;2;2;2;1651
277;2.3;2;2;1493
278;2.5;2;2;1392
279;2.4;2;2;1422
280;2.9;2;2;1393
281;2.9;2;2;1708
282;2.7;2;2;1579
283;2.9;2;2;1465
284;2.7;2;2;1292
285;2.6;2;2;1479
286;2.3;2;2;1464
287;2.4;2;2;1435
288;2.4;2;2;1422
289;1.9;2;2;1709
290;2.3;2;2;1838
291;2.8;2;2;1608
292;2.5;2;2;1465
293;2.7;2;2;747
294;2.8;2;2;962
295;2.8;2;2;1910
296;2.7;2;2;1465
297;2.7;2;2;1078
298;2.9;2;2;1292
299;2.4;2;2;1508
300;2.7;2;2;1450
301;2.7;2;2;1149
302;2.6;2;2;1738
303;2.7;2;2;1393
304;2.3;2;2;1680
305;2.7;2;2;861
306;2.5;2;2;1550
307;2.7;2;2;1393
308;2.3;2;2;1407
309;2.1;2;2;1350
310;2.5;2;2;1680
311;2.2;2;2;1838
312;2.4;2;2;2125
313;2.8;2;2;1579
314;2.4;2;2;1292
315;2.9;2;2;2039
316;2.2;2;2;1206
317;2.6;2;2;1522
318;2.5;1;1;1536
319;2.7;1;1;1263
320;2.9;1;1;1034
321;2.7;1;1;1307
322;1.8;1;1;1507
323;2.4;1;1;1235
324;;1;1;1278
325;2.6;1;1;1350
326;2.5;1;1;1450
327;2.7;1;1;1465
328;2.2;1;1;1206
329;;1;1;1478
330;2.7;1;1;1637
331;;1;1;1464
332;;1;1;1148
333;2.2;1;1;1278
334;2.4;1;1;1565
335;3;1;1;1292
336;2.6;1;1;1393
337;2.6;1;1;1321
338;2.2;1;1;1823
339;2.7;1;1;1608
340;2.7;1;1;1436
341;2.1;1;1;1293
342;2.3;1;1;1364
343;2.4;1;1;1809
344;2.1;1;1;1493
345;2.4;1;1;1336
346;2.1;1;1;1507
347;2.7;1;1;1594
348;2.3;1;1;1421
349;2.5;1;1;1780
350;;1;1;1378
351;2.8;1;1;1464
352;2.7;1;1;1522
353;2.1;1;1;1436
354;;1;1;1450
355;2.7;1;1;1464
356;2.6;1;1;1435
357;2.6;1;1;1436
358;2.3;1;1;1465
359;2.8;1;1;1421
360;;1;1;2211
361;2.8;1;1;733
362;2.8;1;1;1364
363;2.2;1;1;1005
364;2.4;1;1;1349
365;2.4;1;1;1249
366;2.7;1;1;2168
367;2.6;1;1;1837
368;2.7;1;1;1091
369;2.6;1;1;1364
370;2.3;1;1;2928
371;2.3;1;1;1579
372;1.8;1;1;2024
373;2.2;1;1;1493
374;2.6;1;1;1407
375;;1;1;1464
376;2.7;1;1;1206
377;2.5;1;1;1349
378;3.3;1;1;1349
379;2.8;1;1;1235
380;2.3;1;1;1665
381;2.4;1;1;1493
382;;1;1;1178
383;2.6;1;1;1019
384;;1;1;1551
385;2.5;1;1;1623
386;2.5;1;1;1378
387;2.9;1;1;1220
388;2.5;1;1;1551
389;;1;1;1593
390;2.7;1;1;1565
391;2.6;1;1;1651
392;2.8;1;1;1551
393;2.7;1;1;1134
394;2.8;1;1;1536
395;2.4;1;1;1264
396;2.8;1;1;1622
397;2.7;1;1;1350
398;2.9;1;1;1192
399;2.4;1;1;1479
400;2.4;1;1;1852
401;2.6;1;1;825
402;2.4;1;1;1435
403;2.3;1;1;1407
404;2.8;1;1;1594
405;2;1;1;1636
406;2.2;1;1;1666
407;2.4;1;1;1508
408;2.3;1;1;1221
409;2.2;1;1;1407
410;2.4;1;1;1608
411;2.2;1;1;1450
412;2.3;1;1;1594
413;2.4;1;1;1321
414;2.7;1;1;1135
415;2.2;1;1;1163
416;2.8;1;1;1307
417;2.6;1;1;1292
418;2.8;1;1;1163
419;;1;1;1307
420;2.7;1;1;1651
421;2.4;1;1;1120
422;;1;1;1264
423;2;1;1;1666
424;2.7;1;1;1364
425;2.3;1;1;1206
426;2.9;1;1;1278
427;2.6;1;1;2124
428;;1;1;1508
429;2;1;1;1780
430;2.5;1;1;1192
431;2.6;1;1;1306
432;2.8;1;1;1593
433;2.9;1;1;1407
434;2.5;1;1;1407
435;2.7;1;1;1407
436;2.4;1;1;1666
437;2.7;1;1;1349
438;2.2;0;0;0
439;2.3;0;0;0
440;2.1;0;0;0
441;2.1;0;0;0
442;2.2;0;0;0
443;;0;0;0
444;;0;0;0
445;2.2;0;0;0
446;2.7;0;0;0
447;;0;0;0
448;;0;0;0
449;2.3;0;0;0
450;2.1;0;0;0
451;2.3;0;0;0
452;;0;0;0
453;2.4;0;0;0
454;2.7;0;0;0
455;;0;0;0
456;2.2;0;0;0
457;2.3;0;0;0
458;;0;0;0
459;2.3;0;0;0
460;2.5;0;0;0
461;2.2;0;0;0
462;2.4;0;0;0
463;;0;0;0
464;2.9;0;0;0
465;2.1;0;0;0
466;2.8;0;0;0
467;2.1;0;0;0
468;2.2;0;0;0
469;2.1;0;0;0
470;2.5;0;0;0
471;2.2;0;0;0
472;2;0;0;0
473;2.2;0;0;0
474;2.7;0;0;0
475;2.3;0;0;0
476;2.2;0;0;0
477;2.2;0;0;0
478;;0;0;0
479;2.1;0;0;0
480;2.5;0;0;0
481;2.2;0;0;0
482;;0;0;0
483;;0;0;0
484;2.3;0;0;0
485;;0;0;0
486;;0;0;0
487;2.5;0;0;0
488;2.7;0;0;0
489;2.1;0;0;0
490;2.3;0;0;0
491;2.2;0;0;0
492;2.3;0;0;0
493;2.1;0;0;0
494;;0;0;0
495;;0;0;0
496;2.2;0;0;0
497;2.5;0;0;0
498;2.4;0;0;0
499;2.1;0;0;0
500;2.3;0;0;0
501;;0;0;0
502;2.2;0;0;0
503;2.8;0;0;0
504;;0;0;0
505;2.7;0;0;0
506;2.6;0;0;0
507;2.1;0;0;0
508;2.3;0;0;0
509;2.3;0;0;0
510;2.2;0;0;0
511;2.3;0;0;0
512;2.4;0;0;0
513;2.3;0;0;0
514;2.6;0;0;0
515;2.3;0;0;0
516;2.1;0;0;0
517;2.1;0;0;0
518;2.3;0;0;0
519;2.1;0;0;0
520;2.4;0;0;0
521;2.3;0;0;0
522;2.3;0;0;0
523;2.2;0;0;0
524;2.1;0;0;0
525;;0;0;0
526;2.6;0;0;0
527;2.8;0;0;0
528;2.3;0;0;0
529;;0;0;0
530;;0;0;0
531;1.9;0;0;0
532;2.1;0;0;0
533;2.3;0;0;0
534;2.4;0;0;0
535;;0;0;0
536;2.3;0;0;0
537;;0;0;0
538;3;0;0;0
539;2.2;0;0;0
540;2.7;0;0;0
541;;0;0;0
542;2.1;0;0;0
543;;0;0;0
544;3;0;0;0
545;;0;0;0
546;2.3;0;0;0
547;2.5;0;0;0
548;2.2;0;0;0
549;2.3;0;0;0
550;2.1;0;0;0
551;2.3;0;0;0
552;2.5;0;0;0
553;2.1;0;0;0
554;;0;0;0
555;2.1;0;0;0
556;2.3;0;0;0
557;2.2;0;0;0
558;;0;0;0
559;2.2;0;0;0
560;2;0;0;0
561;2.5;0;0;0
562;2.3;0;0;0
563;2.2;0;0;0
564;2.2;0;0;0
565;;0;0;0
566;2.4;0;0;0
567;2.7;0;0;0
568;2.5;0;0;0
569;2.2;0;0;0
570;;0;0;0
571;;0;0;0
572;2.2;0;0;0
573;;0;0;0
574;;0;0;0
575;2;0;0;0
576;;0;0;0
577;1.8;0;0;0
578;2.3;0;0;0
579;2.2;0;0;0
580;2.3;0;0;0
581;2;0;0;0
582;;0;0;0
583;2.2;0;0;0
584;;0;0;0
585;2.6;0;0;0
586;;0;0;0
587;2.7;0;0;0
588;;0;0;0
589;;0;0;0
590;2.7;0;0;0
591;1.8;0;0;0
592;2.2;0;0;0
593;2.3;0;0;0
594;1.9;0;0;0
595;2.7;0;0;0
596;2.3;0;0;0
597;1.9;0;0;0
